===== SHEET: Overall status =====
1	System (HRM, TK, Payroll)	Phase No	Module	Module No	Feature Points	Activity	Sub-Module	Feature (PaaS Ready, Multi-Database)	Description	Additional Description	Actor access	Documentation	UI	Development	Testing	Reference	Remarks				
227	Payroll	Phase II	Reports/Report Generation Module	22		226	Reports	General Ledger Entries	Viewing and downloading/generating of Reports (Report type, Report group, Date, etc). * Option to email * Authorized user to select a particular client to downloading/generating (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * With search facility	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate a GL Entries report * Information will come from existing payroll records * There will be a setup of GL entries under Reference Tables * Additional segments for GL entries - plantila, etc.	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
228	Payroll	Phase II	Reports/Report Generation Module	22		227	Reports	Payroll reports by range (able to select applicable month, etc.) * Existing in Phase 1	Viewing and downloading/generating of Reports (Report type, Report group, Date, etc). * Option to email * Authorized user to select a particular client to downloading/generating (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * With search facility	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate a custom report using date range * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
229	Payroll	Phase II	Reports/Report Generation Module	22		228	Reports	Able to export reports by group, including department, section, position, etc. * Existing in Phase 1	Viewing and downloading/generating of Reports (Report type, Report group, Date, etc). * Option to email * Authorized user to select a particular client to downloading/generating (Input client name or code and click search button. Apply filters if necessary) * With report generation to pdf and excel with parameters (for all, per year, etc.) * Unlimited entries * With search facility	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate a custom report using custom fields * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
230	Payroll	Phase II	Reports/Report Generation Module	22		229	Reports	Monthly Deduction report	Monthly Deduction report	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate a Monthly Deduction report per employee, group, department, or company * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
231	Payroll	Phase II	Reports/Report Generation Module	22		230	Reports	Multiple file report * Existing in Phase 1	Payroll reports, - all, register, netpay etc. in one generation with tick box	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate a Monthly Deduction report per employee, group, department, or company * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
232	Payroll	Phase II	Reports/Report Generation Module	22		231	Reports	Remittance converter reports	Remittance converter reports	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to choose a file type before exporting reports * Options are: Text files or Excel file (CSV) for applicable reports	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
233	Payroll	Phase II	Reports/Report Generation Module	22		232	Reports	Bulk Report Download * Existing in Phase 1	One click for generation of multiple reports in a zip file	Option to have multiple reports generated to be downloaded in a single ZIP file * Option to check one file (for bulk) or individual export, zipped or unzipped, password (by default, is checked - can be unchecked)	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
234	Payroll	Phase II	Reports/Report Generation Module	22		233	Reports	Apply all optional parameters in all Payroll reports	Apply all optional parameters in all reports; Add parameter in the masterfile report as per active/inactive/all; able to select specific column only; Add year parameter in the YTD register per payout	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate custom reports by selecting specific fields to be included (under Custom Reports)	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
235	Payroll	Phase II	Reports/Report Generation Module	22		234	Reports	MP2 certifications to be included in the summary of receipts and remittance schedule	MP2 certifications to be included in the summary of receipts and remittance schedule	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate an MP2 certification (letter certifying MP2 contribution of an employee) * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
236	Payroll	Phase II	Reports/Report Generation Module	22		235	Reports	HDMF MP2 Excel converter	HDMF MP2 Excel converter	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to choose a file type before exporting reports * Options are: Text files or Excel file (CSV) for applicable reports	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
237	Payroll	Phase II	Reports/Report Generation Module	22		236	Reports	Provident Fund Report	Provident Fund Report	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate a Provident Fund report (with computation from computational basis) * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
238	Payroll	Phase II	Reports/Report Generation Module	22		237	Reports	Pension Fund Report	Pension Fund Report	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate a Pension Fund report (with computation from computational basis) * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
239	Payroll	Phase II	Reports/Report Generation Module	22		238	Reports	Expanded Maternity Benefit Report	Expanded Maternity Benefit Report	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate an Expanded Maternity Benefit Reimbursement report (with computation from computational basis) * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
240	Payroll	Phase II	Reports/Report Generation Module	22		239	Reports	Retirement Report	Retirement Report	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate a Retirement report (with computation from computational basis) * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
241	Payroll	Phase II	Reports/Report Generation Module	22		240	Reports	PHIC PMRF	PHIC PMRF	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate PHIC PMRF report/form * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
242	Payroll	Phase II	Reports/Report Generation Module	22		241	Reports	PHIC ER-2	PHIC ER-2	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate PHIC ER*2 report/form * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
243	Payroll	Phase II	Reports/Report Generation Module	22		242	Reports	Other reports	Other reports - SEE ANNEX D	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Annex D has 448 Unique Reports (combination of all file types and non*government reports)	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
244	Payroll	Phase II	Reports/Report Generation Module	22		243	Reports	BIR 1601-EQ	BIR 1601-EQ	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate BIR 1601*EQ report/form * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
245	Payroll	Phase II	Reports/Report Generation Module	22		244	Reports	BIR 1601C	BIR 1601C	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate BIR 1601C report/form * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
246	Payroll	Phase II	Reports/Report Generation Module	22		245	Reports	BIR 1604C	BIR 1604C	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate BIR 1604C report/form * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
247	Payroll	Phase II	Reports/Report Generation Module	22		246	Reports	BIR 1604CF	BIR 1604CF	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate BIR 1604CF report/form * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
248	Payroll	Phase II	Reports/Report Generation Module	22		247	Reports	BIR 2316	BIR 2316	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate BIR 2316 report/form * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
249	Payroll	Phase II	Reports/Report Generation Module	22		248	Reports	BIR 2306	BIR 2306	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate BIR 2306 report/form * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
250	Payroll	Phase II	Reports/Report Generation Module	22		249	Reports	BIR 2307	BIR 2307	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate BIR 2307 report/form * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
251	Payroll	Phase II	Reports/Report Generation Module	22		250	Reports	BIR Alphalist	BIR Alphalist	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Allows admins to generate BIR Alphalist report/form * Information will come from existing payroll records	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
252	Payroll	Phase II	Reports/Report Generation Module	22		251	Reports	Supports Monthly Government Remittance Returns	Supports the creation of the Government Remittance Returns	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Annex D has 448 Unique Reports (combination of all file types and non*government reports)	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
253	Payroll	Phase II	Reports/Report Generation Module	22		252	Reports	Supports Monthly Alphalist - annual clearance	Supports Monthly Alphalist, for annual clearance purposes	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Annex D has 448 Unique Reports (combination of all file types and non*government reports)	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
254	Payroll	Phase II	Reports/Report Generation Module	22		253	Reports	Supports Annual Alphalist - annual clearance	Supports Annual Alphalist, for annual clearance purposes	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Annex D has 448 Unique Reports (combination of all file types and non*government reports)	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
255	Payroll	Phase II	Reports/Report Generation Module	22		254	Reports	Supports Premium Remittances for SSS, PhilHealth and Pag-Ibig - annual clearance	Supports Premium Remittances for SSS, PhilHealth and Pag-Ibig, for annual clearance purposes	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Annex D has 448 Unique Reports (combination of all file types and non*government reports)	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
256	Payroll	Phase II	Reports/Report Generation Module	22		255	Reports	Supports Loan Remittances for SSS and Pag-Ibig - annual clearance	Supports Loan Remittances for SSS and Pag-Ibig, for annual clearance purposes	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Annex D has 448 Unique Reports (combination of all file types and non*government reports)	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
257	Payroll	Phase II	Reports/Report Generation Module	22		256	Reports	Other Reports	Other reports viewing and printing - SEE ANNEX D * Customizable - with dropdown as to what report to generate - per employee group/from report selector and if per individual employee or all employees per period * With report generation to pdf and excel * With report selector (e.g. employee group, etc)	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering * Annex D + other reports in BRD 2 to be included	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
258	Payroll	Phase II	Reports/Report Generation Module	22		257	Reports	Option to download the reports, or directly send to authorized contact person/s via link on the email * Existing in Phase 1	Option to download the reports, or directly send to authorized contact person/s via link on the email. When link is clicked, you will be redirected to a site using your own username and password. And when you download the reports, it's in zipped file with password also	* Reporting feature, ability to download or send reports via Email (input email)	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
259	Payroll	Phase II	Reports/Report Generation Module	22		258	Reports	One click *standard payroll reports generation to zipped file * Existing in Phase 1	One click *standard payroll reports generation to zipped file. From register /payroll recon to net pay	* Reporting feature, exporting multiple reports to a zipped file	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
260	Payroll	Phase II	Reports/Report Generation Module	22		259	Reports	Billing report	Billing report template based on headcount and processed lodgement - SEE ANNEX A	* Available file types include: .doc, .PDF, .txt, .xlsx, .csv * Text files will not be password protected * To identify grouped reports (grouped reports are 1 file with multiple tabs inside) * Option to check if one file (bulk) or individual reports * Toggle on/off for password protecting reports * Information to be pulled from existing records * Clients can generate custom reports with available fields and filtering	P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
261	Payroll	Phase II	Reports/Report Generation Module	22		260	Reports	High Level Report * Existing in Phase 1	Customized that can select whatever report available for an existing client or all clients (headcount, number of transactions, payslips, etc.) * Per role user right only to access and generate the report (internal for P&A)		P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
262	Payroll	Phase II	Reports/Report Generation Module	22		261	Reports	HDMF MP2 account numbers report	HDMF MP2 account numbers report		P&A Admin, Client Admin	Report Feature	Not applicable	Not yet started							
263	Payroll	Phase II	Reports/Report Generation Module	22		262	Reports	Reports Template Editor. Customizable reports * Existing in Phase 1	Based on report selector, a new template will be created and saved as additional report	* Reporting feature, Custom Reports	P&A Admin, Client Admin	Report Feature	In progress	Not yet started							
264	Payroll	Phase II	Reports/Report Generation Module	22		263	Reports	Customizable report - client can choose own format of reporting * Existing in Phase 1	Customizable report - client can choose own format of reporting	* Reporting feature, Custom Reports	P&A Admin, Client Admin	Covered in phase 1	In progress	In progress							
265	Payroll	Phase II	Reports/Report Generation Module	22		264	Reports	Report Tabs * Existing in Phase 1	One click for multiple report tabs	Option to have a toggle for generating multiple reports to be in the same excel file, in separate tabs * Can textfiles be password protected? If not, textfiles are zipped with password - To provide grouped reports (1 file multiple tabs) - To check devs/internal for performance related problems when generating multiple complex reports in 1 file	P&A Admin, Client Admin	Report Feature	In progress	Not yet started							
266	Payroll	Phase II	Others	23		265	Others	Status bar when downloading reports or uploading files * Existing in HRM and TK (Phase 1)	Status bar when downloading reports or uploading files		All Users	Functional / Cosmetic Feature	In progress	Noted							
267	Payroll	Phase II	Others	23		266		Editable Certificate and Letter Templates * Existing in HRM and TK (Phase 1)	Customizable certificates and letter templates viewing and printing * With report generation to pdf and excel		P&A Admin, Client Admin	Not yet Started	Not yet started	Not yet started							
268	Payroll	Phase II	Others	23		267	Others	Capability to add muliple engagement team * Existing in HRM and TK (Phase 1)	Capability to add muliple engagement team		P&A Admin, Client Admin	Functional / Cosmetic Feature	In progress	In progress							
269	Payroll	Phase II	Others	23		268	Others	ISAE 3402 ready * Existing in HRM and TK (Phase 1)	ISAE 3402 ready	During company onboarding - toggle on/off if with Work Program module New Module: Work Program (20 predefined, the rest are created by admins without linkages) Set up of Work Program for Payroll, HR, and Timekeeping (Super Admin only): - Admin to create a checklist containing the following (Actor, Task, Guidelines) - Inputs are free text Accomplishing the Work Program - During processing, processors are required to accomplish the work program and update the status of each activity as "Completed". - Processors cannot create a new transaction if there is a pending work program (applicable to Payroll regular, special, and yearend only) - After accomplishing the work program, a report can be generated containing the actor, task, guidelines, completed by (user), completed on (date and time), status (completed/incomplete) - The report will be exported as a CSV/XSLX/PDF, etc.	All Users	Not yet Started	Not yet started	Not yet started							
270	Payroll	Phase II	Others	23		269	Others	Pop Up message reminders * Existing in HRM and TK (Phase 1)	Pop Up message reminders or error message for a certain action or for every action * Customizable		All Users	Complete	In progress	In progress							
271	Payroll	Phase II	Others	23		270	Others	Visual Identity * Existing in HRM and TK (Phase 1)	The system’s visual identity shall comply with the P&A Grant Thornton’s style guide	* Company logo can be set up under Company Settings *Checkbox if new/uploaded logo will appear in interface, payslip, or certificates *Can be different logos for interface, payslip, or certificates *Max of 3 logos to be uploaded *Validation on the dimensions *Guidelines for uploading	All Users	Functional / Cosmetic Feature	In progress	Noted							
272	Payroll	Phase II	Others	23		271	Others	Data protection, data privacy, and network security * Existing in HRM and TK (Phase 1)	The system shall comply with P&A Grant Thornton’s data protection, data privacy, and network security directives and standards		All Users	Functional / Cosmetic Feature	In progress	Noted							
273	Payroll	Phase II	Others	23		272	Others	User passwords * Existing in HRM and TK (Phase 1)	User passwords shall comply with P&A Grant Thornton’s password policy		All Users	Functional / Cosmetic Feature	In progress	Noted							
274	Payroll	Phase II	Others	23		273	Others	Vulnerability Assessment Standards * Existing in HRM and TK (Phase 1)	The system developed must pass OWASP Top 10 and SANS Top 25 vulnerability assessment standards on application development		All Users	Functional / Cosmetic Feature	In progress	Noted							
275	Payroll	Phase II	Others	23		274	Others	Report selector * Existing in HRM and TK (Phase 1)	Report generation selector (select report group, select report, etc)		All Users	Functional / Cosmetic Feature	In progress	Noted							
276	Payroll	Phase II	Others	23		275	Others	Abiliy to send text * Existing in HRM and TK (Phase 1)	Abiliy to send text		All Users	Functional / Cosmetic Feature	Not applicable	Noted							
277	Payroll	Phase II	Others	23		276	Others	Abiliy to send email * Existing in HRM and TK (Phase 1)	Abiliy to send email		All Users	Functional / Cosmetic Feature	Not applicable	Noted							
278	Payroll	Phase II	Others	23		277	Others	Ticketing/Helpdesk * Existing in HRM and TK (Phase 1)	Ticketing * With report generation		All Users	Complete	Approved	Deployed							
279	Payroll	Phase II	Others	23		278	Others	Chatbox * Existing in HRM and TK (Phase 1)	Chatbox * Details enabled on a per system basis (HRM, TK, Payroll), same with FAQs		All Users	Complete	Approved	Deployed							
280	Payroll	Phase II	Others	23		279	Others	Grid Reports * Existing in HRM and TK (Phase 1)	All Grid Reports can be exported to Text File, HTML or Microsoft Excel		All Users	Functional / Cosmetic Feature	In progress	Noted							
281	Payroll	Phase II	Others	23		280	Others	Time and Attendance Text File Import * Existing in HRM and TK (Phase 1)	Time and Attendance Text File Import (From other bundy clocks)		P&A Admin, Client Admin	Complete	Approved	Deployed							
282	Payroll	Phase II	Others	23		281	Others	eSignature Upload of employee * Existing in HRM and TK (Phase 1)	Capability to upload esignature of employee (docusign?)		All Users	Complete	Approved	Deployed							
283	Payroll	Phase II	Others	23		282	Others	eSsignature Upload of employer * Existing in HRM and TK (Phase 1)	Capability to upload esignature of employer (docusign?)		P&A Admin, Client Admin	With clarification	In progress	Not yet started							
284	Payroll	Phase II	Others	23		283	Others	Customizable view * Existing in HRM and TK (Phase 1)	Customize the order of the menu sections, choose what to see in the dashboard, etc		All Users	Complete	Approved	Deployed							
285	Payroll	Phase II	Others	23		284	Others	Approval Groups * Existing in HRM and TK (Phase 1)	Employees can have their own unique set of approvers		P&A Admin, Client Admin	Covered in phase 1	Approved	Deployed							
286	Payroll	Phase II	Others	23		285	Others	Document Storage for company data * Existing in HRM and TK (Phase 1)	Capability of employees to upload any documents as required by the company (eg gov ids, bir 2316, birth cert)		All Users	Covered in phase 1	Approved	Deployed							
287	Payroll	Phase II	Others	23		286	Others	Mobile App Features * Existing in HRM and TK (Phase 1)	Capability of HRIS, TK, Payroll with a mobile app (Time In/Out, Current Shift Schedule, Attendance by date range, Holidays, Requests, Payslip) * With report generation to pdf and excel for admin * With data analytics for admin		All Users	Complete	In progress	Not yet started							
288	Payroll	Phase II	Others	23		287	Others	Data Encryption * Existing in HRM and TK (Phase 1)	Data Encryption		All Users	Functional / Cosmetic Feature	Not applicable	Noted							
289	Payroll	Phase II	Others	23		288	Others	PaaS Ready * Existing in HRM and TK (Phase 1)	PaaS Ready		All Users	Functional / Cosmetic Feature	Not applicable	Noted							
290	Payroll	Phase II	Others	23		289	Others	Multi-Database * Existing in HRM and TK (Phase 1)	Multi-Database		All Users	Covered in phase 1	Not applicable	Not yet started							
291	Payroll	Phase II	Others	23		290	Others	App Insight * Existing in HRM and TK (Phase 1)	App Insight		All Users	Not yet Started	Not applicable	Not yet started							
292	Payroll	Phase II	Others	23		291	Others	Inactivity Timeout * Existing in HRM and TK (Phase 1)	When user has been inactive on the page for 30 seconds or more		All Users	Not yet Started	Not yet started	Not yet started							
293	Payroll	Phase II	Others	23		292	Others	Customizable enabling and disabling "Required and Optional" options on all fields * Existing in HRM and TK (Phase 1)	Customizable enabling and disabling required and optional options on all fields		P&A Admin, Client Admin	Deleted feature	Not applicable	Not applicable							
294	Payroll	Phase II	Others	23		293	Others	Ready to be enabled or activated anytime * Existing in HRM and TK (Phase 1)	Say initially the client only subscribed to Timekeeping, but after 2 months opted to subscribe to HRIS, as well.		All Users	Covered in phase 1	Not applicable	Noted							
295	Payroll	Phase II	Others	23		294	Others	Scalable and adaptable to the evolving needs of growing organizations * Existing in Phase 1	This involves creating a flexible architecture that can accommodate an increasing number of employees, diverse payroll structures, and changing business requirements.		All Users	Business Requirement	Not applicable	Noted							
296	Payroll	Phase II	Others	23		295	Others	Designed to function both as a standalone system and seamlessly integrate with other key sub-modules under the Atlas umbrella * Existing in Phase 1	Designed to function both as a standalone system and seamlessly integrate with other key sub-modules under the Atlas umbrella		All Users	Business Requirement	Not applicable	Noted							
297	Payroll	Phase II	Others	23		296	Others	Implement advanced reporting functionalities within the Payroll System * Existing in Phase 1	Implement advanced reporting functionalities within the Payroll System	P&A's reporting tool: Telerik * Will also be covered by custom reports	All Users	Business Requirement	Not applicable	Noted							
298	Payroll	Phase II	Others	23		297	Others	Accounts of the users will be tied up with accounts in the P&A Nexus * Existing in Phase 1	Accounts of the users will be tied up with accounts in the P&A Nexus	Tied to P&A Nexus (MS O365)	All Users	Business Requirement	Not applicable	Noted							
299	Payroll	Phase II	Others	23		298	Others	All applicable data privacy laws and security policies will be implemented and followed within the system * Existing in Phase 1	All applicable data privacy laws and security policies will be implemented and followed within the system	Referring to OWASP Top 10 and SANS Top 25 vulnerability assessment standards	All Users	Business Requirement	Not applicable	Noted							
300	Payroll	Phase II	Others	23		299	Others	The Payroll System has an internal (BPS) and external (Client) access depending on the team configuration * Existing in Phase 1	The Payroll System has an internal (BPS) and external (Client) access depending on the team configuration	Included under User Rights (external & internal users)	All Users	Business Requirement	Not applicable	Noted							
301	Payroll	Phase II	Others	23		300	Others	Appropriate User Access Management will be utilized in the system * Existing in Phase 1	Appropriate User Access Management will be utilized in the system	User roles and access under user rights	All Users	Business Requirement	In progress	In progress							
